Sr_No,Symptoms 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Disease,Remedy
21,fever,headache,loss of appetite,blisters,None,spots on body,None,None,None,None,None,None,dehydration,muscle ache,None,rash,Chickenpox,"There is no cure for chickenpox, and the virus usually clears up by itself without any treatment.
However, there are ways of easing the itch and discomfort, and there are important steps you can take to stop chickenpox spreading.
Painkillers - If you are in pain or has a high temperature (fever), you can take a mild painkiller, such as paracetamol.
Keeping hydrated - It is important for children (and adults) with chickenpox to drink plenty of water to avoid dehydration.
Stop the scratching - Chickenpox can be incredibly itchy, but it's important for children (and adults) to not scratch the spots, to avoid future scarring.
Cool clothing - If your child has a fever, or if their skin is sore and aggravated, dress them appropriately so that they don't get too hot or too cold."
22,dry lips,bad breath,a decreased or altered sense of taste,tooth decay,gum disease,"difficulty speaking, eating or swallowing",soreness in your mouth,None,None,None,None,None,None,None,None,None,Dry mouth,"There are simple measures you can try to help keep your mouth moist.
- increase your fluid intake – take regular sips of cold water or an unsweetened drink.
- suck on sugar-free sweets or chew sugar-free gum – this can stimulate your salivary glands to produce more saliva.
- suck on ice cubes – the ice will melt slowly and moisten your mouth
- avoid alcohol (including alcohol-based mouthwashes), caffeine and smoking – these can all make a dry mouth worse."
23,continuous sadness or low mood,losing motivation,feeling anxious,feeling guilty,finding it hard to make decisions,thinking about suicide,feeling worried,losing interest in things,thinking about harming yourself,None,None,None,None,None,None,None,Depression,"Talking treatments for depression.There are a number of talking therapies for depression.
- Cognitive behavioural therapy (CBT) helps you make sense of your thoughts and behaviour and the affect they have on you.
- Computerised CBT (CCBT) This type of CBT is done using a computer instead of face-to-face with the counsellor.
- Interpersonal Therapy (IPT)  is focused on your relationships with people around you, and problems that you might be having with them. These can include problems communicating, or dealing with a bereavement.
- Psychodynamic psychotherapy this is also known as psychoanalytic psychotherapy. You'll work with a therapist who encourages you to say whatever you're thinking.
Counselling is a type of therapy that works really well if you have good mental wellbeing overall but need help coping with a crisis that's currently going on in your life."
24,"fever
",itchy skin,loss of appetite,None,None,chills,None,more persistent pain,None,yellowing of the skin and whites of the eyes,abdominal pain,rapid heartbeat,diarrhoea,confusion,None,None,Gallstones,"Your treatment plan for gallstones depends on how the symptoms are affecting your daily life.
If your gallstones are small and don't contain calcium, it may be possible to take ursodeoxycholic acid tablets to dissolve them.
However, these aren't prescribed very often because:
-they're rarely very effective
-they need to be taken for a long time (up to 2 years)
gallstones can recur once treatment is stopped
-Side effects of ursodeoxycholic acid are uncommon and are usually mild. The most commonly reported side effects are feeling sick, being sick and itchy skin."
25,high temperature,headaches,None,sweats,None,chills,None,anaemia,None,vomiting,None,None,diarrhoea,muscle ache,None,None,Malaria,"If malaria is diagnosed and treated promptly, virtually everyone will make a full recovery. Treatment should be started as soon as the diagnosis has been confirmed. Antimalarial medication is used to both treat and prevent malaria. Which type of medication is used and the length of treatment will depend on:the type of malaria, the severity of your symptoms, where you caught malaria, whether you took an antimalarial to prevent malaria, whether you're pregnant."
26,fever,None,chest pain,fatigue,dry cough,chills,coughing up blood,None,None,vomiting,None,rapid heartbeat,wheezing,muscle ache,None,None,Pneumonia,"Mild pneumonia can usually be treated at home by: getting plenty of rest, taking antibiotics, drinking plenty of fluids. If you don't have any other health problems, you should respond well to treatment and soon recover, although your cough may last for some time. As pneumonia isn't usually passed from one person to another, it's safe to be around others, including family members. However, people with a weakened immune system should avoid close contact with a person with pneumonia until they start to get better. For at-risk groups, pneumonia can be severe and may need to be treated in hospital. This is because it can lead to serious complications, which in some cases can be fatal, depending on a person's health and age."
27,throat pain,pain while swallowing,muffled voice,None,None,None,None,None,None,None,None,None,None,None,None,None,Sore throat,"take ibuprofen or paracetamol – paracetamol is better for children and for people who can't take ibuprofen (note that children under 16 should never take aspirin). drink plenty of cool or warm fluids, and avoid very hot drinks. eat cool, soft foods. avoid smoking and smoky places. gargle with a homemade mouthwash of warm, salty water. suck lozenges, hard sweets, ice cubes or ice lollies – but don't give young children anything small and hard to suck because of the risk of choking."
28,itching around anus,None,loss of appetite,bed wetting,weight loss,None,None,None,None,None,None,None,None,None,None,None,Threadworm,"If you or your child has threadworms, everyone in your household will need to be treated as there's a high risk of the infection spreading. This includes those who don't have any symptoms of an infection. For most people, treatment will involve taking a single dose of a medication called mebendazole to kill the worms. If necessary, another dose can be taken after 2 weeks. During treatment and for a few weeks afterwards, it's also important to follow strict hygiene measures to avoid spreading the threadworm eggs. This includes regularly vacuuming your house and thoroughly washing your bathroom and kitchen."
29,coughing thick mucus,coughing at night,red face,hard coughs,None,None,None,None,None,None,None,None,None,None,None,None,Whooping Cough,"Children under six months who are very ill and people with severe symptoms will usually be admitted to hospital for treatment. People diagnosed during the first three weeks of infection may be prescribed antibiotics to take at home – these will help stop the infection spreading to others, but may not reduce the symptoms. People who've had whooping cough for more than three weeks won't normally need any specific treatment, as they're no longer contagious and antibiotics are unlikely to help."
30,fever,headache,None,feeling tired,"wollen, painful lymph glands in your neck",loss of voice,changes to your voice,None,None,earache,None,None,None,None,None,None,Tonsillitis,"There's no specific treatment for tonsillitis and most cases get better within a week without treatment.
While waiting for the infection to clear up, there are a number of things you can do to help relieve your symptoms.
If your child has tonsillitis, make sure they have plenty to eat and drink, even if they find it painful to swallow. Being hungry and dehydrated can make other symptoms, such as headaches and tiredness, worse.
Over-the-counter painkillers, such as paracetamol and ibuprofen, can help relieve painful symptoms such as a sore throat.
If treating your children with painkillers, it's important to use the correct type and dosage. Younger children only need small dosages. Your pharmacist can advise you about this.
Children under 16 years of age shouldn't be given aspirin.
Over-the-counter treatments that can soothe a sore throat, such as lozenges and oral sprays, are also available. Some people find that gargling with a mild antiseptic solution can also relieve a sore throat.
Alternatively, you could try gargling with warm, salty water. Mix half a teaspoon of salt (2.5g) with a quarter of a litre (eight ounces) of water. It's important not to swallow the water, so this method may not be suitable for younger children."
31,None,itchy nose,None,None,None,None,None,blocked nose,None,None,sneezing,None,None,None,None,None,Allergic rhinitis,"Treatment for allergic rhinitis depends on how severe your symptoms are and how much they're affecting your everyday activities.
You should visit your GP if your symptoms are more severe and affecting your quality of life, or if self-help measures haven't been effective.
It's possible to treat the symptoms of mild allergic rhinitis with over-the-counter medications, such as long-acting, non-sedating antihistamines.
Regularly cleaning your nasal passages with a salt water solution – known as nasal douching or irrigation – can also help by keeping your nose free of irritants.
You can do this either by using a homemade solution or a solution made with sachets of ingredients bought from a pharmacy."
32,loss of sense of smell,headaches,itchy eyes,fatigue,itchy throat,runny nose,tiredness,blocked nose,cough,earache,sneezing,None,None,None,None,None,hay fever,"Antihistamines are usually effective at treating itching, sneezing and watery eyes, but they may not help with clearing a blocked nose.
They're available in tablet form and also as nasal sprays and eye drops.
You can use antihistamines as:
- an ""as-required"" treatment – you take them when you first notice you're developing the symptoms of hay fever
- a preventative treatment – for example, if you know there's going to be a high pollen count, you can take them before leaving the house in the morning"
33,toothache,bad breath,tooth sensitivity,unpleasant taste,"grey, brown or black spots appearing on your teeth",None,None,None,None,None,None,None,None,None,None,None,Tooth decay,"Treatment of tooth decay depends on how advanced it is.
- For early stage tooth decay – your dentist will talk to you about the amount of sugar in your diet and the times you eat. They may apply a fluoride gel, varnish or paste to the area. Fluoride helps to protect teeth by strengthening the enamel, making teeth more resistant to the acids from plaque that can cause tooth decay.
- Your dentist may discuss a filling or crown with you – this involves removing the dental decay, offering local anaesthetic to numb the tooth and filling the hole
- If tooth decay has spread to the pulp (in the centre of the tooth, containing blood and nerves) – this may be removed in a process known as root canal treatment.
- If the tooth is so badly damaged that it can't be restored – it may need to be removed. Your dentist may be able to replace the tooth with a partial denture, bridge or implant."
34,fever,bad breath,bleeding gums,unpleasant taste,loose teeth,difficulty swallowing,red and swollen gums,painful gums,gum abscesses,None,None,None,None,None,None,None,Gum disease,"Good oral hygiene involves:
- brushing your teeth for about two minutes last thing at night before you go to bed and on one other occasion everyday – it doesn't matter if you use an electric or manual toothbrush but some people find it easier to clean their teeth thoroughly with an electric toothbrush
- using toothpaste that contains the right amount of fluoride (a natural mineral that helps protect against tooth decay)
- flossing your teeth regularly – preferably daily, before brushing your teeth
- not smoking
- regularly visiting your dentist – at least once every one to two years, but more frequently if necessary.
for more help you can visit  a dentist."
35,memory loss,headache,loss of balance,vision problem,changes in behaviour,None,None,None,None,None,loss of consciousness,nausea,None,confusion,None,None,Concussion,"Some self care techniques for mild symptoms of concussion are outlined below.
- apply a cold compress to the injury to reduce swelling – a bag of frozen vegetables wrapped in a towel could be used, but never place ice directly on the skin as it's too cold; apply the compress every two to four hours and leave it in place for 20 to 30 minutes
- take paracetamol to control pain – do not use non-steroidal anti-inflammatory drug (NSAID) painkillers such as ibuprofen or aspirin as these can sometimes cause bleeding at the site of the injury
- get plenty of rest and avoid stressful situations where possible
- avoid drinking any alcohol or taking recreational drugs
- only return to work, college or school when you feel you have completely recovered
- only drive a car or ride a bike when you feel you have completely recovered
- do not play any contact sports for at least three weeks without seeing your GP first – this includes sports such as football and rugby
- make sure you have someone to stay with you for the first 48 hours after the injury – this is in case you experience more serious follow-up symptoms"
36,difficulty understanding,headache,loss of balance,vision problem,complete paralysis of one side of the body,None,None,None,None,None,None,None,None,None,None,None,Stroke,"Some supportive treatments are as follows you may require:
- a feeding tube inserted into your stomach through your nose (nasogastric tube) to provide nutrition if you have difficulty swallowing (dysphagia)
- nutritional supplements if you're malnourished
- fluids given directly into a vein (intravenously) if you're at risk of dehydration
- oxygen through a nasal tube or face mask if you have low levels of oxygen in your blood
- compression stockings to prevent blood clots in the leg (deep vein thrombosis)
If you're concerned about the standard of care provided, speak to your stroke specialist or a member of the stroke team."
37,None,headache,nosebleeds,vision problem,None,None,None,None,None,None,None,None,None,None,shortness of breath,None,hypertension,"Treatment for high blood pressure will depend on your blood pressure levels and your associated risk (after taking account of several factors) of developing a cardiovascular disease, such as a heart attack or stroke.
There are seven main risk factors for developing a cardiovascular disease. These are:
- age
- high blood pressure
- smoking (or a previous history of smoking)
- obesity
- lack of exercise
- having a high level of cholesterol in your blood
- having a family history of cardiovascular disease (conditions of the heart or blood vessels).
If your blood pressure is slightly higher than the ideal level (120/80mmHg), and your GP feels that the risks of cardiovascular disease are low, then you should be able to lower your blood pressure by making simple lifestyle changes.
If your blood pressure is moderately high (140/90mmHg or higher), or your GP feels that your risk of developing cardiovascular disease in the next 10 years is more than one in five, then you will be advised about changing your lifestyle and may also be prescribed medication.
If your blood pressure is very high (180/110 mmHg or above) you should be referred to a hypertension specialist"
38,None,headache,loss of appetite,fatigue,low blood pressure,chills,difficulty breathing,None,None,vomiting,irritability,None,dehydration,None,muscle weakness,None,Addison's disease,"If you have Addison’s disease, you'll need to take daily medication to replace the lost hormones.
Treatment usually involves corticosteroid (steroid) replacement therapy for life. Corticosteroid medication is used to replace the hormones cortisol and aldosterone that your body no longer produces. It's usually taken in tablet form two or three times a day.
In most cases, a medication called hydrocortisone is used to replace the cortisol. Other possible medicines are prednisolone or dexamethasone, though these are less commonly used. 
Failing to take your medication could lead to a serious condition called an adrenal crisis, so you must:
- remember to collect your repeat prescriptions
- keep spare medication as necessary – for example, in the car or at work, and always carry some spare medication with you
- take your medication every day at the right time
- pack extra medication if you are going away – usually double what you would normally need, plus your injection kit (see below)
- carry your medication in your hand luggage if you are travelling by plane, with a note from your doctor explaining why it is necessary.
Over time, as you get used to the condition and learn what can trigger your symptoms, you may learn how to adjust your medication yourself. However, always consult your GP or specialist if you're unsure."
39,fever,headache,loss of appetite,None,feeling tired,None,joint pain,dry mouth,None,None,abdominal pain,None,None,None,None,None,Mumps,"Treatment for mumps is focused on relieving symptoms until your body’s immune system fights off the infection. There are currently no medications to treat the mumps virus.
The infection usually passes within a week or two.
In the meantime, the measures below may help.
- get plenty of bed rest until your symptoms have passed
- take over-the-counter painkillers, such as ibuprofen or paracetamol, to relieve any pain (children aged 16 or under should not be given aspirin)
- drink plenty of fluids, but avoid acidic drinks such as fruit juice as these can irritate your parotid glands; water is usually the best fluid to drink
- apply a warm or cool compress to your swollen glands to help reduce any pain
- eat foods that don't require a lot of chewing, such as soup, mashed potatoes and scrambled eggs
If your symptoms don’t improve after seven days, or suddenly worsen, contact your GP for advice."
40,fever,headache,None,None,None,tight joints,deformities,sore throat,None,None,abdominal pain,None,None,None,muscle weakness,None,Polio,"There's currently no cure for polio. Treatment focuses on supporting bodily functions and reducing the risk of long-term problems while the body fights off the infection.
This can include bed rest in hospital, painkillers, breathing support and regular stretches or exercises to prevent problems with the muscles and joints.
If you're left with long-term problems as a result of a polio infection, you'll probably need ongoing treatment and support.
This may include physiotherapy to help with any movement problems, devices such as splints and braces to support weak limbs or joints, occupational therapy to help you adapt to any difficulties, and possibly surgery to correct any deformities.
The polio vaccine is offered as part of the NHS routine childhood immunisation programme.
It's given in 5 separate doses:
- at 8, 12 and 16 weeks of age – as part of the 6-in-1 (DTaP/IPV/Hib/HepB) vaccine
- at 3 years and 4 months of age – as part of the 4-in-1 (DTaP/IPV) pre-school booster
- between 13 and 18 years of age – as part of the 3-in-1 (Td/IPV) teenage booster
If you're planning to travel to a polio-affected country, you should get immunised if you've not been fully immunised before, or have a booster dose if it's been 10 years or more since your last dose of the vaccine."
41,None,food into gullet,feeling full,belching,bloated,None,None,None,None,None,None,nausea,None,None,None,None,Indigestion,"Most people are able to treat indigestion with simple changes to their diet and lifestyle, or with a number of different medications, such as antacids. Very rarely, a serious underlying health condition is the cause of indigestion. If this is suspected, then further investigation such as an endoscopy will be required. "
42,sores in cheeks,sores in tongue,sores in lips,None,None,None,None,None,None,None,None,None,None,None,None,None,Mouth Ulcers,"Self treatment includes: applying a protective paste recommended by your pharmacist, using a soft toothbrush to brush your teeth, using a toothpaste that doesn’t contain sodium lauryl sulphate, as this may be irritating, avoiding hard, spicy, salty, acidic or hot food and drink until the ulcer heals, using a straw to drink cool drink, avoiding things that may be triggering your mouth ulcers – see causes, below"
43,high temperature,headache,skin infection,None,swollen tongue,flushed cheek,None,sore throat,None,None,None,None,None,None,None,None,Scarlet Fever,"Scarlet fever used to be a very serious illness, but nowadays most cases tend to be mild. It can easily be treated with antibiotics. Liquid antibiotics, such as penicillin or amoxicillin, are often used to treat children. These must be taken for 10 days, even though most people recover after four to five days. It's important to be aware that your child will still be infectious for 24 hours after antibiotic treatment has begun, and therefore they shouldn't attend nursery or school during this period. Without antibiotic treatment, your child will be infectious for 1-2 weeks after symptoms appear."
44,red skin,itchy skin,flake skin,None,None,None,None,None,None,None,None,None,None,None,None,None,Sunburn,Cool the skin by sponging it with cold water or by having a cold bath or shower – applying a cold compress such as a cold flannel to the affected area may also help. Drink plenty of fluids to cool you down and prevent dehydration.Take painkillers such as ibuprofen or paracetamol to relieve any pain – aspirin should not be given to children under 16.
45,None,indigestion,None,heartburn,None,None,None,None,None,None,None,nausea,None,None,None,None,stomach ulcer,"Most stomach ulcers take a few months to heal after treatment. However, stomach ulcers can come back after treatment, although this is less likely to happen if the underlying cause is addressed. You'll be treated using antibiotics if your ulcer was caused by a H. pylori infection. This kills the bacteria and should prevent the ulcer coming back. You'll be treated using a proton pump inhibitor (PPI) if your ulcer was caused by NSAIDs. Your doctor will prescribe these and discuss whether you should keep using NSAIDs. Alternative medication to NSAIDs, such as paracetamol, may be recommended."
46,spinning sensation,increased ear pressure,ringing in ears,ear pain,None,None,None,None,None,None,None,None,None,None,None,None,airplane ear,"Airplane ear usually isn't serious and responds to self-care. Long-term complications can rarely occur when the condition is serious or prolonged or if there's damage to middle or inner ear structures. If discomfort, fullness or muffled hearing lasts more than a few days, or if you have severe signs or symptoms, call your doctor. Yawn and swallow during ascent and descent. These activate the muscles that open your eustachian tubes. You can suck on candy or chew gum to help you swallow.Don't sleep during takeoffs and landings. If you're awake during ascents and descents, you can do the necessary self-care techniques when you feel pressure in your ears."
47,fever,swelling of hand,swelling of feet,vision problem,anemia,severe pain,None,None,None,None,None,None,None,None,None,None,Sickel Cell Anemia,"If you carry the sickle cell trait, seeing a genetic counselor before trying to conceive can help you understand your risk of having a child with sickle cell anemia. They can also explain possible treatments, preventive measures and reproductive options."
48,fever,bad breath,facial swelling,fatigue,None,sinus infection,nasal stuffiness,sore throat,cough,facial tenderness,sneezing,None,eye pain,None,None,None,Sinus Infection,"Many sinus infections can be treated by your primary care physician or an Internal Medicine doctor. However, it is not unusual to consult an ENT (Eye, Ears, Nose, and Throat) specialist, Infectious disease specialist, Allergist or Immunologist. With some complex sinus infections, a surgeon who specializes in sinus surgery may be necessary to consult."
49,fever,headache,None,None,None,chills,None,None,cough,vomiting,None,nausea,diarrhoea,None,None,None,SARS(Severe Acute Respiratory Syndrome),"Patients with SARS often require oxygen therapy, and severe cases require tracheal intubation and mechanical ventilation to support life until recovery begins. Severely ill patients should be admitted to the intensive-care unit. No medication has been proven to treat SARS effectively, and treatment is supportive and directed by the patient's clinical condition. Medical caregivers need to follow strict policies on gloves, masks, gowns, and other protocols to avoid becoming infected."
50,lack  of sleep,headache,mood changes,fatigue,None,lack of energy,None,None,anxiety,None,None,None,None,None,None,None,Insomnia,"The treatment of insomnia depends largely on the cause of the problem. In cases where an obvious situational factor is responsible for the insomnia, correcting or removing the cause generally cures the problem. For example, if insomnia is related to a transient stressful situation, such as jet lag or an upcoming examination, it will then be cured when the situation resolves. Generally speaking, the treatment of insomnia can be divided into non-medical or behavioral approaches and medical therapy. Both approaches are necessary to successfully treat the problem, and combinations of these approaches may be more effective than either approach alone. When it's related to a known medical or psychiatric condition, then appropriate treatment of that problem is in the forefront of therapy for insomnia in addition to the specific therapy for insomnia itself. Without adequately addressing the underlying cause, insomnia will likely go on despite taking aggressive measures to treat it with both medical and non-medical therapies."
51,fever,itchy skin,loss of appetite,None,weakness,sinus infection,tiredness,shivering,None,vomiting,None,None,None,None,None,None,Cirrhosis,"There are a number of things you can do to help yourself stay healthy and reduce your chances of developing further problems if you have cirrhosis, including:
 - completely avoid alcohol, regardless of the cause of your cirrhosis, as alcohol consumption increases the rate at which the condition progresses
 - lose weight if you're overweight or obese
 - regular exercise to reduce muscle wasting
 - practise good hygiene to reduce your chances of developing infections
 - speak to your GP about vaccinations you may need, such as the annual flu vaccine or travel vaccines
 - speak to your GP or pharmacist if you're taking over-the-counter or prescription medications, as cirrhosis can affect the way your body processes some medicines
Malnutrition is common in people with cirrhosis, so it's important to ensure you have a balanced diet to help you get all the nutrients you need."
52,fever,distress,None,None,None,runny nose,difficulty breathing,sore throat,cough,None,drowsiness,rapid heartbeat,None,None,None,None,Croup,"If your GP thinks your child has mild croup, they will usually recommend managing it at home.
This will often involve using children's paracetamol to ease any pain associated with the condition and may help lower your child's temperature if they have a fever.
You should also ensure your child is well hydrated by encouraging them to drink plenty of fluids.
Comforting your child is also important because their symptoms may get worse if they are agitated or crying.
Painkillers, such as paracetamol and ibuprofen, are available in liquid form for children. You can get liquid paracetamol and ibuprofen over the counter from pharmacies and some supermarkets.
Children under 16 years of age should not be given aspirin.
In severe cases of croup, treatment in hospital may be required."
